student id,Gender,Aptitude Test,GRE Score,University Ranking,GPA Range,Out of State Flag,Housing,Non-Traditional Student,Campus Name,Program,Session,Race,Country,Financial Aid,Transfer Student,Full-Time
046-46-0144,Male,GRE,308.0,Pass,2.50-2.99,Yes,Off-Campus,No,Southern Arkansas University,IELP,FA21,Asian,China,No,No,Yes
571-27-9819,Female,GRE,329.0,Top Quarter,3.00-3.24,No,College Owned/Operated,No,Campbellsville UniversityCampbellsville University,IELP/TESOL,SP22,Asian,Pakistan,Yes,No,Yes
080-49-9674,Female,GRE,295.0,Pass,3.00-3.24,Yes,Off-Campus,No,International Language Academy of Washington D.C.International Language Academy,IELP/EDUC,SM22,Kinh,Vietnam,No,No,Yes
956-46-6295,Female,GRE,300.0,Pass,3.25-3.49,Yes,Off-Campus,No,Piedmont Technical College,MSASA,SM22,Asian,India,No,No,Yes
784-70-5844,Female,GRE,334.0,Pass,3.25-3.49,Yes,Off-Campus,No,University of New Haven,IELP/MSASA,FA21,African,Congo,No,No,Yes
235-28-6286,Female,GRE,325.0,Top Half,2.50-2.99,No,Off-Campus,No,Central Michigan UniversityCentral Michigan University,EDUC,FA22,Asian,China,Yes,No,Yes
054-24-9264,Female,GRE,305.0,Pass,3.25-3.49,Yes,Off-Campus,No,University of North TexasUniversity of North Texas,MSHI,FA22,Asian,Pakistan,No,No,Yes
069-15-2358,Female,GRE,291.0,Pass,3.25-3.49,Yes,Off-Campus,No,Harrisburg University of Science & TechnologyHarrisburg University of Science & Tech,MSASA,SM22,Akan ,Ghana,No,No,Yes
612-61-6389,Female,GRE,298.0,Top Half,3.00-3.24,No,College Owned/Operated,No,Trine UniversityTrine University-Phoenix AZ Regional Ctr,IELP/UNDG,FA21,Asian,China,Yes,No,Yes
647-69-3770,Female,GRE,294.0,Top 10,3.00-3.24,No,College Owned/Operated,No,Lindsey Wilson CollegeLindsey Wilson College,MAE,FA21,Asian,China,Yes,No,Yes
836-80-9384,Female,GRE,326.0,Pass,3.25-3.49,Yes,Off-Campus,No,NEW YORK INSTITUTE OF ENGLISH AND BUSINESSNEW YORK INST. OF ENGLISH AND BUSINESS,IELP ,SM22,Kazakhs,Kazakhstan,No,No,Yes
509-88-8147,Female,GRE,318.0,Bottom Half,2.50-2.99,No,College Owned/Operated,No,Brookdale Community College,HINF,SM22,Chhetri ,Nepal,Yes,No,Yes
539-95-7863,Male,GRE,311.0,Bottom Half,2.50-2.99,No,College Owned/Operated,No,Excel English InstituteExcel English Institute,TESOL,SP22,African,Congo,Yes,No,Yes
995-90-5297,Male,GRE,314.0,Bottom Half,2.50-2.99,No,College Owned/Operated,No,Taylor Business Institute,UNDG,SM22,Arabs,Jordan,Yes,No,Yes
961-89-6745,Male,GRE,321.0,Pass,2.50-2.99,Yes,Off-Campus,Yes,Oklahoma Christian UniversityOklahoma Christian University,IELP,SP22,Voltaiques,Cote D'Ivoire,No,No,Yes
629-45-6324,Male,GRE,334.0,Pass,2.0-2.49,Yes,Off-Campus,No,Eastern Michigan UniversityEastern Michigan University,IELP/MSESHM,FA22,Kinh,Vietnam,No,No,Yes
836-53-8960,Trans,GRE,299.0,Pass,2.50-2.99,Yes,College Owned/Operated,No,Western Illinois UniversityWestern Illinois University,MSASA,SP22,Kinh,Vietnam,No,Yes,Yes
985-10-9837,Male,GRE,296.0,Top Half,2.50-2.99,No,College Owned/Operated,No,Harrisburg University of Science & TechnologyHarrisburg University of Science & Tech,IELP/UG,SM22,African,Congo,Yes,No,Yes
234-78-7247,Female,GRE,306.0,Pass,1.0-1.99,Yes,Off-Campus,No,Rockford UniversityRockford University,HINF,SP22,African,Congo,No,No,Yes
422-17-5336,Male,GRE,332.0,Top 10,2.50-2.99,No,College Owned/Operated,No,Southern Arkansas UniversitySouthern Arkansas University,IELP/HINF,FA22,Voltaiques,Cote D'Ivoire,Yes,No,Yes
750-27-6180,Female,GRE,323.0,Bottom Quarter,3.00-3.24,No,College Owned/Operated,No,The University of Texas at ArlingtonThe University of Texas at Arlington,HINF,SP22,Arabs,Saudi Arabia,Yes,No,Yes
534-58-4336,Male,GRE,313.0,Top Half,3.00-3.24,No,Off-Campus,No,Wilmington UniversityWilson Graduate Center,IELP,SP22,Voltaiques,Cote D'Ivoire,Yes,No,Yes
286-47-8946,Female,GRE,324.0,Pass,2.0-2.49,Yes,Off-Campus,Yes,Oklahoma Christian UniversityOklahoma Christian University,EDUC,FA22,Chhetri ,Nepal,No,No,Yes
058-14-5382,Male,GRE,305.0,Pass,2.0-2.49,Yes,Off-Campus,No,Piedmont Technical College,IELP/ENVM,SM22,Arabs,Jordan,No,Yes,No
612-24-4648,Female,GRE,290.0,Pass,3.25-3.49,Yes,Off-Campus,No,Lewis UniversityLewis University-Main Campus,IELP,SM22,Kazakhs,Kazakhstan,No,No,Yes
119-59-3346,Male,GRE,315.0,Bottom Quarter,3.00-3.24,Yes,College Owned/Operated,No,"New York General Consulting, Inc.New York General Consulting, Inc.",MSASA,SP22,Indo-Aryan,Bangladesh,Yes,No,Yes
346-52-0881,Male,GRE,312.0,Top Quarter,3.25-3.49,No,College Owned/Operated,Yes,University of South CarolinaUniversity of South Carolina-Columbia,MBA,SM22,Arabs,Saudi Arabia,Yes,No,No
161-22-2539,Male,GRE,332.0,Top Quarter,3.00-3.24,No,College Owned/Operated,No,Central Michigan UniversityCentral Michigan University,IELP ,SP22,Arabs,Morocco,Yes,No,Yes
350-92-4057,Male,GRE,308.0,Bottom Half,3.50-3.74,No,College Owned/Operated,No,Park UniversityPark University,HINF,FA22,Kinh,Vietnam,Yes,No,Yes
798-76-1891,Male,GRE,311.0,Top Half,3.75+,No,College Owned/Operated,No,University of the Cumberlands,IELP/MSASA,SP22,African,Congo,Yes,No,Yes
332-70-3043,Male,GRE,317.0,Top Half,2.50-2.99,No,College Owned/Operated,No,PC TECH USA & YOU-RI INC d/b/a New York English AcademyNew York English Academy,UG,SP22,Kinh,Vietnam,Yes,No,Yes
407-12-0295,Female,GRE,294.0,Bottom Quarter,3.00-3.24,No,College Owned/Operated,No,Bluedata International InstituteBluedata International Institute,IELP/MSASA,SP22,Asian,China,Yes,No,Yes
883-51-4456,Female,GRE,329.0,Top Half,3.25-3.49,No,College Owned/Operated,No,North American UniversityNorth American University,IELP/MBA,FA21,Arabs,Jordan,Yes,No,Yes
665-76-5828,Female,GRE,307.0,Pass,3.25-3.49,Yes,Off-Campus,No,Gulf Language SchoolNorth American University,MHSI,SP22,Asian,India,Yes,No,Yes
992-49-3101,Male,GRE,307.0,Top Half,2.50-2.99,Yes,College Owned/Operated,No,Roosevelt UniversityChicago,HINF,SP22,Filipino,Philippines,Yes,No,Yes
289-56-7891,Male,GRE,314.0,Pass,2.0-2.49,Yes,Off-Campus,No,University of BridgeportUniversity of Bridgeport,IELP/MSASA,FA21,Persians,Iran,Yes,No,Yes
403-25-2232,Female,GRE,326.0,Pass,3.00-3.24,Yes,Off-Campus,No,American English Language Institute,IELP/ENVM,FA22,Arabs,Jordan,No,No,Yes
431-50-5091,Male,GRE,320.0,Top Half,3.00-3.24,No,Off-Campus,No,University of North AmericaUoNA Main Campus,IELP/UG,SP22,White British,United Kingdom,Yes,No,No
200-62-9991,Female,GRE,327.0,Top 10,3.00-3.24,No,College Owned/Operated,No,International Language Academy of Washington D.C.International Language Academy,TESOL,SP22,Asian,Pakistan,Yes,No,Yes
056-95-9970,Female,GRE,315.0,Pass,1.0-1.99,Yes,Off-Campus,No,Park UniversityPark University,IELP/TESOL,SM22,White British,United Kingdom,Yes,No,Yes
137-08-0995,Male,GRE,307.0,Top Half,2.50-2.99,Yes,College Owned/Operated,No,Columbus Techincal College,TESOL,SM22,Kazakhs,Kazakhstan,Yes,No,No
582-28-3485,Female,GRE,314.0,Pass,3.50-3.74,No,College Owned/Operated,No,St. Cloud State UniversitySt. Cloud State University,IELP/MSASA,FA21,Indo-Aryan,Bangladesh,No,Yes,Yes
099-14-8255,Male,GRE,332.0,Pass,3.25-3.49,Yes,Off-Campus,No,Rockford UniversityRockford University,IELP,FA21,African,Congo,No,No,Yes
766-17-1784,Male,GRE,295.0,Top Quarter,3.00-3.24,No,Off-Campus,No,Christian Brothers UniversityChristian Brothers University,MAE,FA22,Arabs,Jordan,Yes,No,Yes
751-31-7879,Female,GRE,315.0,Pass,3.25-3.49,Yes,Off-Campus,No,ASA College - Manhattan Extension Center,IELP,SP22,Arabs,Saudi Arabia,No,No,Yes
042-80-8864,Male,GRE,292.0,Top Half,3.25-3.49,No,College Owned/Operated,No,University of Mary Hardin-BaylorUniversity of Mary Hardin-Baylor,MAE,SM22,Akan ,Ghana,Yes,No,Yes
545-90-6619,Female,GRE,291.0,Pass,3.25-3.49,Yes,Off-Campus,Yes,Illinois Eastern Community CollegesWabash Valley College,IELP,FA21,African,Congo,No,No,Yes
387-46-1181,Male,GRE,296.0,Pass,3.00-3.24,Yes,Off-Campus,No,Language Systems International,IELP/ENVM,SM22,Kazakhs,Kazakhstan,Yes,No,Yes
797-95-1615,Male,GRE,301.0,Top Half,2.50-2.99,No,College Owned/Operated,No,American English CollegeAmerican English College,IELP/EDUC,SP22,Akan ,Ghana,Yes,No,Yes
